Parcel ID,Assessment Year,Total Assessed Value,Land Assessed Value,Building Assessed Value,Data Source,Assessment Date,Tax Year
4-43,2022,446500.0,157200.0,288300.0,City Parcel Master,2022-01-01,2022
4-43,2020,446500.0,157200.0,288300.0,NHDRA,2020-01-01,2020
4-44,2022,387500.0,158900.0,228400.0,City Parcel Master,2022-01-01,2022
4-44,2020,387500.0,158900.0,228400.0,NHDRA,2020-01-01,2020
4-45,2022,502400.0,155600.0,346800.0,City Parcel Master,2022-01-01,2022
4-45,2020,502500.0,155700.0,346800.0,NHDRA,2020-01-01,2020
4-46,2022,371000.0,144300.0,225900.0,City Parcel Master,2022-01-01,2022
4-46,2020,371000.0,144300.0,225900.0,NHDRA,2020-01-01,2020
4-47,2022,540500.0,157200.0,383300.0,City Parcel Master,2022-01-01,2022
4-47,2020,540500.0,157200.0,383300.0,NHDRA,2020-01-01,2020
4-48,2022,419100.0,156800.0,250300.0,City Parcel Master,2022-01-01,2022
4-48,2020,397300.0,156800.0,229400.0,NHDRA,2020-01-01,2020
4-49,2022,437300.0,142800.0,294500.0,City Parcel Master,2022-01-01,2022
4-49,2020,435400.0,142800.0,292600.0,NHDRA,2020-01-01,2020
4-50,2022,530900.0,159200.0,371700.0,City Parcel Master,2022-01-01,2022
4-50,2020,530900.0,159200.0,371700.0,NHDRA,2020-01-01,2020
4-51,2022,380300.0,159100.0,221200.0,City Parcel Master,2022-01-01,2022
4-51,2020,380300.0,159100.0,221200.0,NHDRA,2020-01-01,2020
4-52,2022,414700.0,154400.0,251600.0,City Parcel Master,2022-01-01,2022
4-52,2020,406500.0,154400.0,251600.0,NHDRA,2020-01-01,2020
4-53,2022,400000.0,137200.0,262800.0,City Parcel Master,2022-01-01,2022
4-53,2020,377200.0,137200.0,240000.0,NHDRA,2020-01-01,2020
4-54,2022,389300.0,141600.0,246700.0,City Parcel Master,2022-01-01,2022
4-54,2020,401200.0,141500.0,258700.0,NHDRA,2020-01-01,2020
4-55,2022,579600.0,134300.0,444700.0,City Parcel Master,2022-01-01,2022
4-55,2020,579600.0,134300.0,444700.0,NHDRA,2020-01-01,2020
4-56,2022,414900.0,151200.0,263700.0,City Parcel Master,2022-01-01,2022
4-56,2020,415000.0,151300.0,263700.0,NHDRA,2020-01-01,2020
4-57,2022,378600.0,137900.0,240700.0,City Parcel Master,2022-01-01,2022
4-57,2020,378700.0,138000.0,240700.0,NHDRA,2020-01-01,2020
4-58,2022,520200.0,137900.0,382300.0,City Parcel Master,2022-01-01,2022
4-58,2020,520300.0,138000.0,382300.0,NHDRA,2020-01-01,2020
4-59,2022,446000.0,137200.0,308300.0,City Parcel Master,2022-01-01,2022
4-59,2020,446000.0,137200.0,308300.0,NHDRA,2020-01-01,2020
